UserID,CourseID
U00003,CR00016
U00003,CR00037
U00003,CR00019
U00004,CR00048
U00004,CR00060
U00004,CR00042
U00004,CR00017
U00004,CR00025
U00013,CR00003
U00013,CR00032
U00013,CR00060
U00013,CR00030
U00013,CR00056
U00015,CR00045
U00015,CR00046
U00015,CR00040
U00015,CR00019
U00018,CR00046
U00018,CR00047
U00018,CR00045
U00018,CR00001
U00018,CR00029
U00028,CR00040
U00028,CR00010
U00028,CR00056
U00028,CR00021
U00028,CR00031
U00045,CR00043
U00045,CR00036
U00045,CR00045
U00045,CR00035
U00048,CR00022
U00048,CR00016
U00048,CR00037
U00048,CR00025
U00055,CR00058
U00055,CR00057
U00055,CR00014
U00055,CR00016
U00055,CR00051
U00071,CR00025
U00071,CR00048
U00071,CR00015
U00083,CR00028
U00083,CR00054
U00083,CR00044
U00083,CR00040
U00085,CR00035
U00085,CR00053
U00085,CR00002
U00109,CR00002
U00109,CR00023
U00109,CR00054
U00112,CR00024
U00112,CR00036
U00112,CR00007
U00112,CR00016
U00112,CR00023
U00117,CR00008
U00117,CR00027
U00117,CR00001
U00126,CR00060
U00126,CR00036
U00126,CR00050
U00126,CR00028
U00128,CR00027
U00128,CR00054
U00128,CR00050
U00133,CR00052
U00133,CR00010
U00133,CR00041
U00133,CR00055
U00133,CR00004
U00134,CR00055
U00134,CR00012
U00134,CR00030
U00134,CR00011
U00144,CR00032
U00144,CR00020
U00144,CR00042
U00144,CR00012
U00147,CR00007
U00147,CR00021
U00147,CR00044
U00147,CR00001
U00149,CR00021
U00149,CR00032
U00149,CR00049
U00152,CR00033
U00152,CR00001
U00152,CR00008
U00161,CR00024
U00161,CR00042
U00161,CR00008
U00161,CR00054
U00166,CR00002
U00166,CR00004
U00166,CR00020
U00166,CR00018
U00169,CR00013
U00169,CR00044
U00169,CR00034
U00169,CR00027
U00173,CR00016
U00173,CR00029
U00173,CR00048
U00177,CR00021
U00177,CR00006
U00177,CR00060
U00177,CR00002
U00177,CR00055
U00178,CR00021
U00178,CR00048
U00178,CR00023
U00178,CR00014
U00191,CR00043
U00191,CR00058
U00191,CR00056
U00192,CR00054
U00192,CR00014
U00192,CR00060
U00192,CR00043
U00192,CR00004
U00198,CR00041
U00198,CR00016
U00198,CR00032
U00198,CR00020
U00208,CR00036
U00208,CR00013
U00208,CR00052
U00208,CR00047
U00208,CR00025
U00216,CR00059
U00216,CR00054
U00216,CR00036
U00216,CR00024
U00216,CR00017
U00220,CR00010
U00220,CR00014
U00220,CR00017
U00220,CR00003
U00238,CR00012
U00238,CR00041
U00238,CR00001
U00238,CR00052
U00238,CR00002
U00251,CR00043
U00251,CR00059
U00251,CR00040
U00260,CR00060
U00260,CR00006
U00260,CR00039
U00260,CR00028
U00260,CR00026
U00265,CR00004
U00265,CR00010
U00265,CR00059
U00265,CR00042
U00265,CR00060
U00272,CR00051
U00272,CR00022
U00272,CR00044
U00282,CR00007
U00282,CR00020
U00282,CR00029
U00282,CR00014
U00282,CR00046
U00292,CR00005
U00292,CR00038
U00293,CR00028
U00293,CR00016
U00293,CR00025
U00293,CR00049
U00298,CR00059
U00298,CR00026
U00298,CR00039
U00298,CR00040
U00301,CR00003
U00301,CR00037
U00301,CR00049
U00301,CR00030
U00303,CR00014
U00303,CR00053
U00303,CR00039
U00310,CR00010
U00310,CR00023
U00310,CR00037
U00315,CR00051
U00315,CR00045
U00315,CR00060
U00321,CR00043
U00321,CR00047
U00321,CR00049
U00322,CR00041
U00322,CR00048
U00322,CR00022
U00323,CR00005
U00323,CR00036
U00323,CR00016
U00323,CR00033
U00328,CR00042
U00328,CR00003
U00328,CR00041
U00328,CR00004
U00328,CR00036
U00329,CR00060
U00329,CR00021
U00329,CR00049
U00330,CR00051
U00330,CR00040
U00330,CR00054
U00334,CR00024
U00334,CR00051
U00334,CR00046
U00334,CR00042
U00338,CR00023
U00338,CR00009
U00338,CR00002
U00338,CR00039
U00338,CR00017
U00339,CR00044
U00339,CR00001
U00339,CR00039
U00339,CR00040
U00339,CR00060
U00340,CR00033
U00340,CR00048
U00340,CR00034
